route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
8__410___,CRTM,410,ARANJUEZ-CIEMPOZUELOS-SAN MARTÍN DE LA VEGA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__410___.aspx,8EBF42,FFFFFF
8__411___,CRTM,411,MADRID (Legazpi) - PERALES DEL RÍO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__411___.aspx,8EBF42,FFFFFF
8__412___,CRTM,412,MADRID (Villaverde Bajo-Cruce)-SAN MARTÍN DE LA VEGA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__412___.aspx,8EBF42,FFFFFF
8__413___,CRTM,413,PINTO (FFCC)-SAN MARTÍN DE LA VEGA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__413___.aspx,8EBF42,FFFFFF
8__414___,CRTM,414,MADRID (Villaverde Bajo-Cruce)-C.P. MADRID III,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__414___.aspx,8EBF42,FFFFFF
8__415___,CRTM,415,MADRID (Villaverde Bajo-Cruce)-VILLACONEJOS,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__415___.aspx,8EBF42,FFFFFF
8__416___,CRTM,416,VALDEMORO (Hosp.)-S. M. DE LA VEGA-TITULCIA-COLMENAR DE OREJA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__416___.aspx,8EBF42,FFFFFF
8__421___,CRTM,421,MADRID (Legazpi)-PINTO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__421___.aspx,8EBF42,FFFFFF
8__422___,CRTM,422,MADRID (Legazpi)-VALDEMORO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__422___.aspx,8EBF42,FFFFFF
8__423___,CRTM,423,MADRID (Estación Sur)-ARANJUEZ,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__423___.aspx,8EBF42,FFFFFF
8__424___,CRTM,424,MADRID (Legazpi)-VALDEMORO (El Restón),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__424___.aspx,8EBF42,FFFFFF
8__425___,CRTM,425,VALDEMORO (Hospital)-CIEMPOZUELOS,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__425___.aspx,8EBF42,FFFFFF
8__426___,CRTM,426,MADRID (Legazpi)-CIEMPOZUELOS,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__426___.aspx,8EBF42,FFFFFF
8__427___,CRTM,427,MADRID (Villaverde Bajo-Cruce)-ÁREA EMPRESARIAL ANDALUCIA-PINTO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__427___.aspx,8EBF42,FFFFFF
8__428___,CRTM,428,GETAFE-VALDEMORO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__428___.aspx,8EBF42,FFFFFF
8__429___,CRTM,429,MADRID (Legazpi)-ARANJUEZ (PAU de la Montaña),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__429___.aspx,8EBF42,FFFFFF
8__430___,CRTM,430,ARANJUEZ-VILLAREJO DE SALVANES,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__430___.aspx,8EBF42,FFFFFF
